Month,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year,Date/Time Event Began,Date/Time Restoration
June,Alabama,SERC,Severe Weather,115,34637,2019,2019-06-22 20:46:00,2019-06-23 00:30:00
June,Texas,TRE,Severe Weather,Unknown,265000,2019,2019-06-23 22:00:00,2019-06-25 23:00:00
June,Arkansas,SPP RE,Transmission Interruption,47,16199,2019,2019-06-23 05:13:00,2019-06-23 10:58:00
June,Oklahoma,SPP RE,System Operations,0,0,2019,2019-06-24 09:40:00,2019-06-24 15:17:00
June,Arkansas,SPP RE,Severe Weather,Unknown,56451,2019,2019-06-24 05:30:00,2019-06-24 08:45:00
June,North Dakota,MRO,Transmission Interruption,53,0,2019,2019-06-26 13:58:00,2019-06-26 14:03:00
June,Idaho,WECC,Transmission Interruption,0,0,2019,2019-06-28 14:25:00,
June,New York,NPCC,Severe Weather,3189,52498,2019,2019-06-30 15:15:00,2019-06-30 16:15:00
June,Illinois,SERC,Severe Weather,Unknown,100000,2019,2019-06-30 15:30:00,2019-06-30 20:30:00
July,Idaho,WECC,Vandalism,0,0,2019,2019-07-02 13:00:00,2019-07-02 13:22:00
July,Mississippi,SERC,Vandalism,Unknown,3000,2019,2019-07-06 22:00:00,2019-07-07 13:57:00
July,Texas,SPP RE,Vandalism,0,0,2019,2019-07-09 01:59:00,2019-07-09 15:50:00
July,Texas,TRE,Severe Weather,Unknown,57000,2019,2019-07-10 12:10:00,2019-07-12 12:30:00
July,Utah,WECC,Vandalism,0,0,2019,2019-07-10 12:00:00,2019-07-10 12:15:00
July,Texas,TRE,Transmission Interruption,26,2043,2019,2019-07-11 11:08:00,2019-07-11 11:13:00
July,Louisiana,SERC,Severe Weather,Unknown,63000,2019,2019-07-13 23:55:00,2019-07-14 13:00:00
July,Louisiana,SERC,Severe Weather,Unknown,55730,2019,2019-07-13 07:15:00,2019-07-14 17:00:00
July,New York,NPCC,Transmission Interruption,452,72669,2019,2019-07-13 18:47:00,2019-07-13 23:37:00
July,Oklahoma,SPP RE,Suspicious Activity,0,0,2019,2019-07-17 14:12:00,2019-07-17 14:30:00
July,Michigan,RF,Severe Weather,Unknown,400000,2019,2019-07-19 19:00:00,2019-07-21 20:00:00
July,Wisconsin,MRO,System Operations,Unknown,Unknown,2019,2019-07-19 09:55:00,2019-07-19 13:00:00
July,Missouri,SERC,Suspicious Activity,0,0,2019,2019-07-20 07:37:00,2019-07-20 09:20:00
July,Wisconsin,RF,Severe Weather,200,50000,2019,2019-07-20 11:55:00,2019-07-23 00:00:00
July,Michigan,RF,Severe Weather,Unknown,160000,2019,2019-07-20 03:00:00,2019-07-22 07:00:00
July,New York,NPCC,Severe Weather,60,45000,2019,2019-07-21 23:00:00,2019-07-22 20:54:00
July,Pennsylvania,RF,Severe Weather,Unknown,165000,2019,2019-07-22 16:00:00,2019-07-24 23:00:00
July,New Jersey,RF,Severe Weather,49,95600,2019,2019-07-22 17:50:00,2019-07-25 13:15:00
July,Nebraska,MRO,Transmission Interruption,0,0,2019,2019-07-23 23:55:00,2019-07-23 23:56:00
July,California,WECC,Vandalism,Unknown,25,2019,2019-07-23 03:22:00,2019-07-23 05:40:00
July,Nebraska,MRO,Transmission Interruption,0,0,2019,2019-07-23 23:55:00,2019-07-24 05:22:00
July,Massachusetts,NPCC,Severe Weather,54,54535,2019,2019-07-23 15:39:00,2019-07-23 19:00:00
July,Utah,WECC,Vandalism,Unknown,1,2019,2019-07-24 13:30:00,2019-07-24 13:31:00
July,Maine,NPCC,System Operations,0,0,2019,2019-07-24 08:01:00,2019-07-24 12:49:00
July,Michigan,RF,System Operations,0,0,2019,2019-07-28 18:48:00,2019-07-28 19:18:00
July,Louisiana,SERC,Severe Weather/Transmission Interruption,Unknown,13720,2019,2019-07-30 08:45:00,2019-07-30 09:45:00
August,Washington,WECC,System Operations,0,0,2019,2019-08-02 18:24:00,2019-08-02 19:28:00
August,Minnesota,MRO,Transmission Interruption,0,0,2019,2019-08-02 01:49:00,2019-08-02 01:55:00
August,Oregon,WECC,Transmission Interruption,66,Unknown,2019,2019-08-05 17:23:00,2019-08-06 00:02:00
August,California,WECC,Vandalism,0,0,2019,2019-08-07 15:00:00,2019-08-07 15:30:00
August,Washington,WECC,Vandalism,0,0,2019,2019-08-07 08:40:00,
August,Maine,NPCC,System Operations,0,0,2019,2019-08-07 09:30:00,2019-08-07 11:15:00
August,Ohio,RF,Severe Weather/Transmission Interruption,Unknown,5600,2019,2019-08-08 16:16:00,2019-08-08 22:41:00
August,Texas,TRE,Suspicious Activity,0,0,2019,2019-08-09 09:53:00,2019-08-09 10:46:00
August,Michigan,RF,System Operations,0,0,2019,2019-08-10 16:11:00,2019-08-10 16:46:00
August,Michigan,RF,System Operations,0,0,2019,2019-08-10 19:59:00,2019-08-10 21:04:00
August,California,WECC,Vandalism,0,0,2019,2019-08-13 10:00:00,2019-08-13 11:00:00
August,North Dakota,MRO,Vandalism,Unknown,Unknown,2019,2019-08-13 00:00:00,
August,Texas,TRE,Severe Weather,Unknown,Unknown,2019,2019-08-13 15:10:00,2019-08-13 17:30:00
August,New York,NPCC,Fuel Supply Deficiency,150,Unknown,2019,2019-08-15 08:30:00,
August,California,WECC,Distribution Interruption,80,61318,2019,2019-08-15 23:03:00,2019-08-16 00:37:00
August,Kentucky,SERC,Vandalism,0,0,2019,2019-08-15 11:00:00,2019-08-15 15:30:00
August,Texas,TRE,Severe Weather,Unknown,Unknown,2019,2019-08-15 15:11:00,2019-08-15 18:00:00
August,Washington,RF,System Operations,0,0,2019,2019-08-15 03:07:00,2019-08-15 03:56:00
August,Texas,TRE,Distribution Interruption,752,86373,2019,2019-08-18 16:47:00,2018-08-18 23:00:00
August,Texas,TRE,Transmission Interruption/Distribution Interruption,259,61000,2019,2019-08-18 16:30:00,2019-08-18 22:00:00
August,Louisiana,SPP RE,Transmission Interruption,271,86373,2019,2019-08-18 15:59:00,2019-08-18 23:00:00
August,Ohio,RF,Vandalism,Unknown,1397,2019,2019-08-21 07:56:00,
August,Massachusetts,NPCC,Vandalism,0,0,2019,2019-08-21 15:30:00,
August,Washington,WECC,Suspicious Activity,0,0,2019,2019-08-24 16:10:00,2019-08-24 19:28:00
August,Washington,WECC,Suspicious Activity,0,0,2019,2019-08-25 01:44:00,2019-08-25 02:20:00
August,North Dakota,MRO,Transmission Interruption,0,0,2019,2019-08-26 09:09:00,2019-08-26 13:34:00
August,Oklahoma,SPP RE,Severe Weather/Transmission Interruption,Unknown,95000,2019,2019-08-26 19:00:00,2019-08-27 03:00:00
August,Oklahoma,SPP RE,Severe Weather,Unknown,103779,2019,2019-08-26 19:00:00,2019-08-29 13:00:00
August,Michigan,RF,System Operations,0,0,2019,2019-08-29 23:30:00,2019-08-30 17:30:00
August,Pennsylvania,RF,System Operations,0,0,2019,2019-08-31 15:05:00,2019-08-31 15:46:00
August,California,WECC,Vandalism,0,0,2019,2019-08-31 16:00:00,2019-09-02 06:00:00
September,Texas,TRE,Severe Weather,Unknown,Unknown,2019,2019-09-04 14:30:00,2019-09-06 18:00:00
September,Maryland,RF,System Operations,0,0,2019,2019-09-04 11:13:00,2019-09-04 11:57:00
September,North Carolina,SERC,Severe Weather,3,2000,2019,2019-09-05 22:00:00,2019-09-06 12:00:00
September,North Carolina,SERC,Severe Weather,Unknown,116000,2019,2019-09-05 22:36:00,2019-09-06 16:00:00
September,South Carolina,SERC,Severe Weather,Unknown,172278,2019,2019-09-05 04:15:00,2019-09-05 15:17:00
September,Maine,NPCC,System Operations,0,0,2019,2019-09-05 10:08:00,2019-09-05 12:08:00
September,North Carolina,SERC,Severe Weather,Unknown,77000,2019,2019-09-06 08:20:00,
September,Wyoming,WECC,Transmission Interruption,885,0,2019,2019-09-10 21:22:00,2019-09-10 21:23:00
September,Michigan,RF,Severe Weather,Unknown,54000,2019,2019-09-11 22:35:00,2019-09-11 23:59:00
September,Tennessee,SERC,System Operations,0,0,2019,2019-09-13 02:31:00,2019-09-16 17:00:00
September,Minnesota,MRO,Vandalism,0,0,2019,2019-09-19 18:40:00,2019-09-19 18:46:00
September,Arizona,WECC,Fuel Supply Deficiency,0,0,2019,2019-09-19 05:55:00,2019-09-19 14:30:00
September,Oklahoma,SPP RE,System Operations,0,0,2019,2019-09-20 00:21:00,2019-09-20 12:04:00
September,Washington,WECC,Vandalism,0,0,2019,2019-09-24 15:56:00,2019-09-26 19:25:00
September,Wisconsin,MRO,Suspicious Activity,0,0,2019,2019-09-25 17:25:00,2019-09-25 18:16:00
September,California,WECC,Severe Weather,25,69524,2019,2019-09-25 03:47:00,2019-09-25 15:40:00
September,Texas,TRE,Vandalism,Unknown,Unknown,2019,2019-09-25 09:59:00,2019-09-25 10:00:00
September,Maryland,RF,System Operations,0,0,2019,2019-09-26 14:31:00,2019-09-26 15:14:00
September,California,WECC,Distribution Interruption,Unknown,50072,2019,2019-09-29 07:38:00,
September,Washington,WECC,System Operations,0,0,2019,2019-09-30 05:35:00,2019-09-30 08:10:00
September,Nevada,WECC,Actual Physical Attack,3736,0,2019,2019-09-30 12:17:00,2019-09-30 12:58:00
September,Idaho,WECC,Vandalism,0,0,2019,2019-09-30 10:53:00,2019-09-30 10:54:00
October,Missouri,SERC,Vandalism,0,0,2019,2019-10-03 00:13:00,2019-10-03 04:00:00
October,California,WECC,Fuel Supply Deficiency,0,0,2019,2019-10-04 05:15:00,
October,California,WECC,Fuel Supply Deficiency,0,0,2019,2019-10-06 05:15:00,
October,Texas,TRE,Transmission Interruption,Unknown,Unknown,2019,2019-10-06 14:50:00,2019-10-06 15:00:00
October,California,WECC,Severe Weather/Transmission Interruption,2400,737808,2019,2019-10-09 00:27:00,
October,Maine,NPCC,System Operations,0,0,2019,2019-10-10 02:06:00,2019-10-10 05:05:00
October,Colorado,WECC,System Operations,0,0,2019,2019-10-10 00:22:00,2019-10-10 02:12:00
October,Michigan,RF,System Operations,0,0,2019,2019-10-11 10:56:00,2019-10-11 11:46:00
October,Texas,TRE,Transmission Interruption,0,0,2019,2019-10-12 15:00:00,2019-10-12 16:21:00
October,Ohio,RF,Transmission Interruption,0,0,2019,2019-10-15 03:19:00,2019-10-15 06:38:00
October,Kansas,SPP RE,System Operations,0,0,2019,2019-10-15 19:57:00,2019-10-15 20:44:00
October,Texas,SPP RE,Vandalism,0,0,2019,2019-10-16 07:00:00,
October,Connecticut,NPCC,Severe Weather,Unknown,101683,2019,2019-10-17 00:45:00,2019-10-19 09:30:00
October,South Dakota,MRO,Transmission Interruption,0,0,2019,2019-10-19 05:57:00,2019-10-19 13:58:00
October,California,WECC,System Operations,0,0,2019,2019-10-19 14:00:00,2019-10-19 21:07:00
October,Texas,TRE,Severe Weather,Unknown,400000,2019,2019-10-20 22:15:00,2019-10-25 02:00:00
October,New York,NPCC,System Operations,0,0,2019,2019-10-23 00:49:00,2019-10-23 04:05:00
October,New York,NPCC,System Operations,0,0,2019,2019-10-23 00:49:00,2019-10-23 04:05:00
October,California,WECC,Severe Weather/Transmission Interruption,Unknown,50000,2019,2019-10-23 14:36:00,
October,Ohio,RF,Transmission Interruption,0,0,2019,2019-10-24 17:02:00,2019-10-24 17:09:00
October,California,WECC,Fuel Supply Deficiency,0,0,2019,2019-10-24 05:15:00,
October,South Carolina,SERC,Suspicious Activity,0,0,2019,2019-10-25 02:53:00,2019-10-25 04:37:00
October,California,WECC,Severe Weather/Transmission Interruption,3190,972000,2019,2019-10-26 18:20:00,2019-10-31 01:27:00
October,Maine,NPCC,System Operations,0,0,2019,2019-10-26 08:07:00,2019-10-26 08:45:00
October,Louisiana,SERC,Severe Weather,Unknown,82124,2019,2019-10-26 05:15:00,2019-10-26 17:31:00
October,Tennessee,SERC,Severe Weather,Unknown,70000,2019,2019-10-26 18:00:00,
October,Wisconsin,MRO,System Operations,0,0,2019,2019-10-29 13:46:00,2019-10-29 14:49:00
October,California,WECC,Severe Weather/Distribution Interruption,285,114402,2019,2019-10-30 06:32:00,2019-11-01 13:29:00
October,Pennsylvania,RF,Severe Weather/Distribution Interruption,Unknown,53943,2019,2019-10-31 22:00:00,
November,New York,NPCC,System Operations,0,0,2019,2019-11-01 23:45:00,2019-11-02 00:48:00
November,New York,NPCC,System Operations,0,0,2019,2019-11-01 23:45:00,2019-11-02 00:48:00
November,New York,NPCC,Severe Weather,Unknown,8000,2019,2019-11-01 01:00:00,2019-11-03 13:00:00
November,Connecticut,NPCC,Severe Weather,Unknown,80066,2019,2019-11-01 01:15:00,2019-11-02 21:30:00
November,New York,NPCC,Severe Weather,Unknown,66325,2019,2019-11-01 02:41:00,
November,Minnesota,MRO,Transmission Interruption,0,0,2019,2019-11-03 22:17:00,2019-11-04 11:10:00
November,Florida,FRCC,Transmission Interruption,1500,Unknown,2019,2019-11-05 08:56:00,2019-11-05 11:51:00
November,Indiana,RF,Vandalism,0,0,2019,2019-11-05 08:30:00,2019-11-05 16:16:00
November,Idaho,WECC,Vandalism,Unknown,131,2019,2019-11-05 15:40:00,2019-11-05 17:11:00
November,Utah,WECC,System Operations,72,Unknown,2019,2019-11-08 05:50:00,2019-11-08 06:10:00
November,Oregon,WECC,Vandalism,0,0,2019,2019-11-16 16:11:00,2019-11-16 17:01:00
November,Texas,TRE,Suspicious Activity,0,0,2019,2019-11-16 06:00:00,2019-11-16 17:45:00
November,California,WECC,Severe Weather/Transmission Interruption,178,54000,2019,2019-11-20 09:49:00,2019-11-20 15:20:00
November,California,WECC,System Operations,0,0,2019,2019-11-20 16:55:00,2019-11-20 17:37:00
November,New York,NPCC,System Operations,0,0,2019,2019-11-22 00:00:00,2019-11-22 01:10:00
November,New York,NPCC,System Operations,0,0,2019,2019-11-22 00:00:00,2019-11-22 01:10:00
November,California,WECC,Severe Weather,300,93000,2019,2019-11-26 18:07:00,2019-11-27 12:27:00
November,California,WECC,Vandalism,35,2,2019,2019-11-27 02:44:00,2019-11-27 16:00:00
November,Michigan,RF,Severe Weather,30,107000,2019,2019-11-27 12:00:00,2019-11-30 02:00:00
November,Texas,TRE,Actual Physical Attack,0,0,2019,2019-11-29 00:00:00,2019-12-01 00:00:00
December,Alabama,SERC,System Operations,0,0,2019,2019-12-03 19:16:00,2019-12-03 19:49:00
December,California,WECC,Vandalism,Unknown,Unknown,2019,2019-12-03 06:55:00,
