Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year
July,07/13/2019,07:15:00,07/14/2019,17:00:00,Louisiana:,SERC,Severe Weather,Unknown,55730,2019
July,07/13/2019,18:47:00,07/13/2019,23:37:00,New York: New York County;,NPCC,Transmission Interruption,452,72669,2019
July,07/17/2019,14:12:00,07/17/2019,14:30:00,Oklahoma: Oklahoma County;,SPP RE,Suspicious Activity,0,0,2019
July,07/19/2019,19:00:00,07/21/2019,20:00:00,Michigan:,RF,Severe Weather,Unknown,400000,2019
July,07/19/2019,09:55:00,07/19/2019,13:00:00,Wisconsin: Dane County;,MRO,System Operations,Unknown,Unknown,2019
July,07/20/2019,07:37:00,07/20/2019,09:20:00,Missouri: Boone County;,SERC,Suspicious Activity,0,0,2019
July,07/20/2019,11:55:00,07/23/2019,00:00:00,Wisconsin: Michigan:,RF,Severe Weather,200,50000,2019
July,07/20/2019,03:00:00,07/22/2019,07:00:00,"Michigan: Kent County, Newaygo County, Mecosta County, Montcalm County, Isabella County, Ionia County, Allegan County, Barry County;",RF,Severe Weather,Unknown,160000,2019
July,07/21/2019,23:00:00,07/22/2019,20:54:00,"New York: Kings County, New York County, Queens County, Bronx County, Westchester County, Richmond County;",NPCC,Severe Weather,60,45000,2019
July,07/22/2019,16:00:00,07/24/2019,23:00:00,"Pennsylvania: Bucks County, Delaware County;",RF,Severe Weather,Unknown,165000,2019
July,07/22/2019,17:50:00,07/25/2019,13:15:00,New Jersey: Gloucester County;,RF,Severe Weather,49,95600,2019
July,07/23/2019,23:55:00,07/23/2019,23:56:00,Nebraska:,MRO,Transmission Interruption,0,0,2019
July,07/23/2019,03:22:00,07/23/2019,05:40:00,California: Santa Cruz County;,WECC,Vandalism,Unknown,25,2019
July,07/23/2019,23:55:00,07/24/2019,05:22:00,Nebraska: Scotts Bluff County;,MRO,Transmission Interruption,0,0,2019
July,07/23/2019,15:39:00,07/23/2019,19:00:00,Massachusetts:,NPCC,Severe Weather,54,54535,2019
July,07/24/2019,13:30:00,07/24/2019,13:31:00,Utah: Iron County;,WECC,Vandalism,Unknown,1,2019
July,07/24/2019,08:01:00,07/24/2019,12:49:00,Maine:,NPCC,System Operations,0,0,2019
July,07/28/2019,18:48:00,07/28/2019,19:18:00,Michigan:,RF,System Operations,0,0,2019
July,07/30/2019,08:45:00,07/30/2019,09:45:00,Louisiana:,SERC,Severe Weather/Transmission Interruption,Unknown,13720,2019
August,08/02/2019,18:24:00,08/02/2019,19:28:00,Washington: Clark County;,WECC,System Operations,0,0,2019
August,08/02/2019,01:49:00,08/02/2019,01:55:00,Minnesota: Chisago County;,MRO,Transmission Interruption,0,0,2019
August,08/05/2019,17:23:00,08/06/2019,00:02:00,Oregon: Umatilla County;,WECC,Transmission Interruption,66,Unknown,2019
August,08/07/2019,15:00:00,08/07/2019,15:30:00,California: Kern County;,WECC,Vandalism,0,0,2019
August,08/07/2019,08:40:00,Unknown,Unknown,Washington: Pierce County;,WECC,Vandalism,0,0,2019
August,08/07/2019,09:30:00,08/07/2019,11:15:00,Maine:,NPCC,System Operations,0,0,2019
August,08/08/2019,16:16:00,08/08/2019,22:41:00,Ohio:,RF,Severe Weather/Transmission Interruption,Unknown,5600,2019
August,08/09/2019,09:53:00,08/09/2019,10:46:00,Texas: Travis County;,TRE,Suspicious Activity,0,0,2019
August,08/10/2019,16:11:00,08/10/2019,16:46:00,Michigan:,RF,System Operations,0,0,2019
August,08/10/2019,19:59:00,08/10/2019,21:04:00,Michigan:,RF,System Operations,0,0,2019
August,08/13/2019,10:00:00,08/13/2019,11:00:00,California: Placer County;,WECC,Vandalism,0,0,2019
August,08/13/2019,00:00:00,Unknown,Unknown,North Dakota: Mercer County;,MRO,Vandalism,Unknown,Unknown,2019
August,08/13/2019,15:10:00,08/13/2019,17:30:00,Texas: Williamson County;,TRE,Severe Weather,Unknown,Unknown,2019
August,08/15/2019,08:30:00,Unknown,Unknown,New York: Tompkins County;,NPCC,Fuel Supply Deficiency,150,Unknown,2019
August,08/15/2019,23:03:00,08/16/2019,00:37:00,California: Marin County;,WECC,Distribution Interruption,80,61318,2019
August,08/15/2019,11:00:00,08/15/2019,15:30:00,Kentucky: Ohio County;,SERC,Vandalism,0,0,2019
August,08/15/2019,15:11:00,08/15/2019,18:00:00,Texas:,TRE,Severe Weather,Unknown,Unknown,2019
August,08/15/2019,03:07:00,08/15/2019,03:56:00,District of Columbia: Maryland:,RF,System Operations,0,0,2019
August,08/18/2019,16:47:00,08/18/2018,23:00:00,Texas:,TRE,Distribution Interruption,752,86373,2019
August,08/18/2019,16:30:00,08/18/2019,22:00:00,Texas:,TRE,Transmission Interruption/Distribution Interruption,259,61000,2019
August,08/18/2019,15:59:00,08/18/2019,23:00:00,Louisiana: Texas:,SPP RE,Transmission Interruption,271,86373,2019
August,08/21/2019,07:56:00,Unknown,Unknown,Ohio:,RF,Vandalism,Unknown,1397,2019
August,08/21/2019,15:30:00,Unknown,Unknown,Massachusetts: Middlesex County[13];,NPCC,Vandalism,0,0,2019
August,08/24/2019,16:10:00,08/24/2019,19:28:00,Washington:,WECC,Suspicious Activity,0,0,2019
August,08/25/2019,01:44:00,08/25/2019,02:20:00,Washington: King County;,WECC,Suspicious Activity,0,0,2019
August,08/26/2019,09:09:00,08/26/2019,13:34:00,North Dakota:,MRO,Transmission Interruption,0,0,2019
August,08/26/2019,19:00:00,08/27/2019,03:00:00,Oklahoma:,SPP RE,Severe Weather/Transmission Interruption,Unknown,95000,2019
August,08/26/2019,19:00:00,08/29/2019,13:00:00,Oklahoma:,SPP RE,Severe Weather,Unknown,103779,2019
August,08/29/2019,23:30:00,08/30/2019,17:30:00,Michigan:,RF,System Operations,0,0,2019
August,08/31/2019,15:05:00,08/31/2019,15:46:00,Pennsylvania: New Jersey:,RF,System Operations,0,0,2019
