Month,Area_Affected,Event_Type,Demand_Loss_(MW),Number_of_Customers_Affected,Date_Time_Event_Began,Date_Time_Restoration,Event_Duration_(hours),Year
April,Arizona,Generation Inadequacy,150.0,51366.0,2019-04-25 18:03:00,2019-04-25 18:32:00,0.48,2019
April,Pennsylvania,Transmission Interruption,7.0,5830.0,2019-04-26 01:00:00,2019-04-26 13:27:00,12.45,2019
April,North Carolina,Severe Weather,,54071.0,2019-04-26 17:46:00,2019-04-27 11:49:00,18.05,2019
April,Massachusetts,Severe Weather/Transmission Interruption,0.0,0.0,2019-04-26 15:16:00,2019-04-26 15:17:00,0.02,2019
April,South Carolina,System Operations,0.0,0.0,2019-04-28 13:40:00,2019-04-28 14:49:00,1.15,2019
April,Ohio,Transmission Interruption,0.0,0.0,2019-04-28 10:43:00,2019-04-29 02:06:00,15.38,2019
April,Virginia,Vandalism,0.0,0.0,2019-04-29 17:17:00,2019-04-30 09:22:00,16.08,2019
April,Indiana,System Operations,0.0,0.0,2019-04-30 12:25:00,2019-04-30 13:11:00,0.77,2019
May,Pennsylvania,Transmission Interruption,29.0,1.0,2019-05-08 09:22:00,2019-05-08 09:56:00,0.57,2019
May,Louisiana,Severe Weather/Distribution Interruption,,65844.0,2019-05-08 15:50:00,2019-05-13 00:00:00,104.17,2019
May,Texas,Severe Weather,691.0,238015.0,2019-05-09 17:55:00,2019-05-11 20:50:00,50.92,2019
May,Texas,Severe Weather/Transmission Interruption,0.0,0.0,2019-05-09 19:06:00,2019-05-10 02:57:00,7.85,2019
May,Texas,Severe Weather,,61008.0,2019-05-10 02:00:00,2019-05-10 12:15:00,10.25,2019
May,California,Vandalism,0.0,0.0,2019-05-11 14:08:00,2019-05-11 15:00:00,0.87,2019
May,West Virginia,Suspicious Activity,,,2019-05-15 12:10:00,2019-05-15 12:11:00,0.02,2019
May,Texas,Severe Weather,,68000.0,2019-05-18 15:45:00,2019-05-20 04:00:00,36.25,2019
May,Colorado,Vandalism,30.0,0.0,2019-05-18 01:55:00,2019-05-18 15:06:00,13.18,2019
May,Virginia,Severe Weather,,100000.0,2019-05-23 16:55:00,2019-05-23 23:40:00,6.75,2019
May,Indiana,Severe Weather/Transmission Interruption,0.0,0.0,2019-05-23 01:11:00,2019-05-23 12:00:00,10.82,2019
May,Kentucky,System Operations,0.0,0.0,2019-05-24 07:28:00,2019-05-24 08:30:00,1.03,2019
May,North Dakota,System Operations,0.0,0.0,2019-05-24 20:09:00,2019-05-25 14:23:00,18.23,2019
May,California,Severe Weather,20.0,10961.0,2019-05-24 21:47:00,2019-05-24 23:58:00,2.18,2019
May,Ohio,Severe Weather/Transmission Interruption,347.0,70000.0,2019-05-27 22:07:00,2019-05-28 03:00:00,4.88,2019
June,California,Severe Weather/Transmission Interruption,,,2019-06-02 18:19:00,2019-06-02 20:43:00,2.4,2019
June,Nevada,Suspicious Activity,0.0,0.0,2019-06-04 10:15:00,2019-06-04 13:15:00,3.0,2019
June,Idaho,Vandalism,0.0,0.0,2019-06-05 08:37:00,2019-06-05 08:40:00,0.05,2019
June,South Dakota,Vandalism,0.0,0.0,2019-06-05 10:16:00,2019-06-05 10:17:00,0.02,2019
June,California,Vandalism,0.0,0.0,2019-06-05 09:46:00,2019-06-05 12:00:00,2.23,2019
June,Texas,Severe Weather,,55017.0,2019-06-06 18:09:00,2019-06-06 18:35:00,0.43,2019
June,Texas,Transmission Interruption,8.0,1.0,2019-06-07 14:43:00,2019-06-07 16:20:00,1.62,2019
June,Texas,Transmission Interruption,0.0,0.0,2019-06-08 15:50:00,2019-06-08 19:40:00,3.83,2019
June,Texas,Severe Weather,,558000.0,2019-06-09 14:45:00,2019-06-13 22:30:00,103.75,2019
June,North Dakota,Vandalism,0.0,0.0,2019-06-11 15:11:00,2019-06-11 17:00:00,1.82,2019
June,Utah,Vandalism,0.0,0.0,2019-06-11 07:52:00,2019-06-11 07:53:00,0.02,2019
June,California,Generation Inadequacy,982.0,30907.0,2019-06-12 14:56:00,2019-06-12 15:50:00,0.9,2019
June,Texas,Severe Weather,,340000.0,2019-06-16 02:00:00,2019-06-17 23:59:00,45.98,2019
June,Oklahoma,Severe Weather/Transmission Interruption,,,2019-06-16 03:25:00,,,2019
June,Washington,Suspicious Activity,0.0,0.0,2019-06-18 06:21:00,2019-06-18 06:40:00,0.32,2019
June,Oklahoma,Vandalism,0.0,0.0,2019-06-19 11:00:00,2019-06-19 11:01:00,0.02,2019
June,Arkansas,Severe Weather,,82045.0,2019-06-19 22:30:00,2019-06-20 19:00:00,20.5,2019
June,Nevada,Vandalism,0.0,0.0,2019-06-19 15:00:00,,,2019
