Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year
December,12/07/2019,06:10:00,12/08/2019,02:20:00,Oklahoma,SPP RE,Actual Physical Attack,2,400,2019
December,12/08/2019,13:40:00,12/08/2019,13:41:00,Texas,TRE,Vandalism,0,0,2019
December,12/11/2019,20:53:00,12/11/2019,21:33:00,Oklahoma,SPP RE,Actual Physical Attack,1,392,2019
December,12/11/2019,13:27:00,12/11/2019,13:51:00,Dakota,MRO,Transmission Interruption,18,1,2019
December,12/11/2019,13:22:00,12/11/2019,16:28:00,Maine,NPCC,System Operations,0,0,2019
December,12/16/2019,23:55:00,12/17/2019,01:47:00,Texas,TRE,Transmission Interruption,0,0,2019
December,12/18/2019,14:30:00,12/18/2019,15:25:00,Texas,TRE,System Operations,0,0,2019
December,12/19/2019,02:58:00,12/19/2019,03:46:00,Nebraska,MRO,System Operations,0,0,2019
December,12/24/2019,15:30:00,12/24/2019,19:34:00,Illinois,SERC,Suspicious Activity,0,0,2019
December,12/31/2019,12:00:00,12/31/2019,13:00:00,Washington,WECC,Vandalism,0,0,2019
December,12/31/2019,11:03:00,01/01/2020,10:59:00,Texas,TRE,Transmission Interruption,25,0,2019
January,01/09/2020,23:07:00,01/09/2020,23:19:00,Arkansas,SPP RE,Severe Weather/Transmission Interruption,0,0,2020
January,01/09/2020,20:45:00,01/10/2020,21:23:00,Washington,WECC,Suspicious Activity,0,0,2020
January,01/09/2020,07:40:00,01/09/2020,08:48:00,Minnesota,MRO,System Operations,0,0,2020
January,01/11/2020,02:25:00,01/11/2020,07:56:00,Arkansas,SPP RE,Severe Weather/Transmission Interruption,22,7541,2020
January,01/11/2020,12:50:00,01/12/2020,13:33:00,Alabama,SERC,Severe Weather,219,30715,2020
January,01/12/2020,11:15:00,01/12/2020,11:18:00,Texas,TRE,Suspicious Activity,0,0,2020
January,01/14/2020,00:00:00,01/14/2020,01:00:00,Florida,FRCC,Suspicious Activity,0,0,2020
January,01/16/2020,11:06:00,01/16/2020,11:36:00,Texas,TRE,System Operations,0,0,2020
January,01/17/2020,05:28:00,01/17/2020,10:13:00,California,WECC,Severe Weather/Transmission Interruption,87,67864,2020
January,01/20/2020,06:30:00,01/20/2020,06:31:00,California,WECC,Vandalism,0,0,2020
January,01/22/2020,02:57:00,01/22/2020,03:17:00,Nevada,WECC,Actual Physical Attack,7,3120,2020
January,01/23/2020,23:30:00,01/24/2020,00:39:00,Florida,FRCC,Vandalism,0,0,2020
January,01/27/2020,14:10:00,01/27/2020,18:58:00,Dakota,MRO,System Operations,540,130000,2020
January,01/30/2020,03:01:00,01/30/2020,04:36:00,Dakota,MRO,Transmission Interruption,75,0,2020
January,01/31/2020,09:50:00,02/03/2020,10:00:00,California,WECC,Suspicious Activity,0,0,2020
February,02/08/2020,13:56:00,02/08/2020,15:04:00,California,WECC,Vandalism,0,0,2020
February,02/09/2020,09:30:00,02/09/2020,21:40:00,California,WECC,Severe Weather,500,145000,2020
February,02/11/2020,02:53:00,02/11/2020,13:30:00,Texas,TRE,System Operations,0,0,2020
February,02/12/2020,07:36:00,02/12/2020,08:53:00,Maine,NPCC,System Operations,0,0,2020
February,02/13/2020,08:01:00,02/13/2020,14:38:00,Oregon,WECC,Vandalism,0,0,2020
February,02/17/2020,13:18:00,02/20/2020,09:51:00,Michigan,RF,Vandalism,0,0,2020
February,02/18/2020,13:00:00,02/18/2020,14:00:00,California,WECC,Vandalism,0,0,2020
February,02/25/2020,11:45:00,02/25/2020,13:00:00,California,WECC,Vandalism,0,0,2020
February,02/26/2020,16:30:00,02/26/2020,17:02:00,Oklahoma,SPP RE,System Operations,0,0,2020
February,02/26/2020,17:00:00,02/26/2020,18:05:00,Maine,NPCC,System Operations,0,0,2020
February,02/26/2020,11:29:00,02/26/2020,12:14:00,Dakota,MRO,System Operations,0,0,2020
February,02/29/2020,01:45:00,02/29/2020,02:30:00,Nevada,WECC,System Operations,0,0,2020
March,03/01/2020,11:27:00,03/01/2020,21:47:00,Mississippi,SERC,Transmission Interruption,19,3136,2020
March,03/02/2020,01:43:00,03/02/2020,02:43:00,Nevada,WECC,System Operations,0,0,2020
March,03/03/2020,14:30:00,03/03/2020,14:31:00,Alabama,SERC,Vandalism,0,0,2020
March,03/08/2020,22:10:00,03/09/2020,01:02:00,Texas,TRE,Suspicious Activity,0,0,2020
March,03/12/2020,01:03:00,03/12/2020,03:00:00,Pennsylvania,RF,Transmission Interruption,40,15864,2020
March,03/16/2020,12:01:00,03/16/2020,13:10:00,California,WECC,Severe Weather,165,110800,2020
March,03/16/2020,08:00:00,03/16/2020,08:01:00,California,WECC,Vandalism,0,0,2020
March,03/16/2020,08:00:00,03/16/2020,08:01:00,California,WECC,Vandalism,0,0,2020
March,03/17/2020,10:30:00,03/17/2020,11:41:00,Michigan,RF,System Operations,6062,0,2020
March,03/19/2020,17:05:00,03/19/2020,17:43:00,Minnesota,MRO,System Operations,0,0,2020
March,03/20/2020,22:20:00,03/20/2020,23:30:00,Connecticut,NPCC,System Operations,0,0,2020
March,03/20/2020,23:38:00,03/20/2020,23:59:00,Maine,NPCC,System Operations,0,0,2020
March,03/20/2020,23:45:00,03/21/2020,00:30:00,Connecticut,NPCC,System Operations,0,0,2020
March,03/23/2020,00:15:00,03/25/2020,17:11:00,Wisconsin,MRO,Vandalism,0,0,2020
March,03/24/2020,12:45:00,03/24/2020,14:00:00,California,WECC,Suspicious Activity,0,0,2020
March,03/26/2020,21:29:00,03/26/2020,21:47:00,Ohio,RF,Transmission Interruption,19,11964,2020
March,03/27/2020,13:06:00,03/27/2020,13:58:00,Delaware,RF,System Operations,0,0,2020
March,03/27/2020,13:06:00,03/27/2020,13:58:00,Jersey,RF,System Operations,0,0,2020
March,03/29/2020,20:27:00,03/29/2020,23:04:00,Mississippi,SERC,Transmission Interruption,4,1558,2020
March,03/31/2020,11:45:00,03/31/2020,20:00:00,Alabama,SERC,Severe Weather,412,57744,2020
April,04/01/2020,21:43:00,04/01/2020,22:18:00,Illinois,SERC,System Operations,0,0,2020
April,04/02/2020,18:41:00,04/02/2020,19:23:00,Texas,TRE,System Operations,0,0,2020
April,04/05/2020,02:30:00,04/05/2020,03:01:00,Texas,TRE,Suspicious Activity,0,0,2020
April,04/05/2020,15:46:00,04/05/2020,17:35:00,California,WECC,Severe Weather,7,6814,2020
April,04/07/2020,23:39:00,04/07/2020,23:46:00,Washington,WECC,Transmission Interruption,0,0,2020
April,04/09/2020,07:34:00,04/09/2020,17:40:00,Wisconsin,RF,System Operations,0,0,2020
April,04/10/2020,10:00:00,04/10/2020,16:19:00,Maine,NPCC,System Operations,0,0,2020
April,04/11/2020,11:24:00,04/11/2020,11:42:00,Wyoming,WECC,Transmission Interruption,0,0,2020
April,04/12/2020,13:00:00,04/12/2020,19:27:00,Louisiana,SERC,Severe Weather,122,37991,2020
April,04/12/2020,17:00:00,04/14/2020,01:25:00,Mississippi,SERC,Severe Weather,448,62828,2020
April,04/16/2020,11:30:00,04/16/2020,15:45:00,Georgia,SERC,Vandalism,0,0,2020
April,04/19/2020,01:14:00,04/20/2020,11:42:00,Dakota,MRO,Suspicious Activity,0,0,2020
April,04/20/2020,12:42:00,04/20/2020,13:27:00,Dakota,MRO,Vandalism,0,0,2020
April,04/20/2020,00:59:00,04/20/2020,08:40:00,Alabama,SERC,Severe Weather,552,77341,2020
April,04/23/2020,08:00:00,04/23/2020,23:40:00,Alabama,SERC,Severe Weather,375,52163,2020
April,04/24/2020,21:00:00,04/24/2020,21:33:00,California,WECC,System Operations,5,945,2020
April,04/25/2020,21:25:00,04/25/2020,21:56:00,Oregon,WECC,Vandalism,0,0,2020
April,04/28/2020,20:01:00,04/28/2020,23:21:00,Texas,TRE,Transmission Interruption,14,1,2020
May,05/04/2020,11:59:00,05/07/2020,20:00:00,Tennessee,SERC,Severe Weather,500,130000,2020
May,05/08/2020,13:45:00,05/08/2020,13:46:00,Nevada,WECC,Vandalism,0,0,2020
May,05/13/2020,23:16:00,05/14/2020,13:52:00,Indiana,RF,System Operations,0,0,2020
May,05/13/2020,05:12:00,05/13/2020,14:07:00,Washington,WECC,Transmission Interruption,0,0,2020
May,05/14/2020,11:23:00,05/14/2020,11:25:00,Oregon,WECC,Vandalism,0,0,2020
May,05/16/2020,00:00:00,05/16/2020,00:30:00,Texas,TRE,Suspicious Activity,0,0,2020
May,05/18/2020,23:51:00,05/19/2020,04:37:00,Carolina,SERC,System Operations,0,0,2020
May,05/18/2020,09:27:00,05/18/2020,10:15:00,Oregon,WECC,System Operations,0,0,2020
May,05/19/2020,20:04:00,05/19/2020,22:00:00,Alabama,SERC,Vandalism,8,6000,2020
May,05/19/2020,08:17:00,05/19/2020,08:18:00,Idaho,WECC,Vandalism,0,0,2020
May,05/19/2020,13:45:00,05/19/2020,13:46:00,Arkansas,SPP RE,Suspicious Activity,0,0,2020
May,05/25/2020,10:58:00,05/25/2020,13:00:00,Texas,TRE,Transmission Interruption,8,3745,2020
May,05/29/2020,17:01:00,05/29/2020,18:57:00,Pennsylvania,RF,Transmission Interruption,0,0,2020
May,05/29/2020,17:30:00,05/31/2020,18:00:00,Minnesota,MRO,System Operations,0,0,2020
May,05/29/2020,21:37:00,05/30/2020,04:29:00,Ohio,RF,Vandalism,0,0,2020
May,05/30/2020,22:20:00,05/30/2020,23:00:00,Texas,TRE,System Operations,0,0,2020
May,05/31/2020,21:30:00,06/01/2020,01:00:00,Alabama,SERC,Vandalism,0,0,2020
June,06/03/2020,13:00:00,06/06/2020,16:30:00,Jersey,RF,Severe Weather,80,87000,2020
June,06/03/2020,16:57:00,06/03/2020,17:29:00,Dakota,MRO,System Operations,0,0,2020
June,06/09/2020,11:21:00,06/09/2020,12:01:00,Washington,WECC,Transmission Interruption,0,0,2020
June,06/12/2020,08:21:00,06/12/2020,08:22:00,Michigan,RF,Vandalism,0,0,2020
June,06/18/2020,12:11:00,06/22/2020,08:11:00,Colorado,WECC,Actual Physical Attack,0,0,2020
June,06/18/2020,20:32:00,06/18/2020,20:35:00,Kentucky,SERC,Actual Physical Attack,0,0,2020
